name,price,location,condition,mileage
Toyota Corolla Cross 2023 Off white,"₦ 47,250,000","Lagos State, Ikeja",Foreign Used,17813 km
Toyota Corolla 2007 Black,"₦ 5,775,000","Delta State, Oshimili South",Local Used,148464 km
Lexus ES 2010 Black,"₦ 9,135,000","Rivers State, Port-Harcourt",Local Used,130846 km
Jeep Wrangler 2008 Green,"₦ 31,500,000","Lagos State, Amuwo-Odofin",Local Used,103775 km
Hyundai Accent 2012 Silver,"₦ 10,868,000","Lagos State, Amuwo-Odofin",Foreign Used,311144 km
Toyota Camry 2023 Red,"₦ 38,850,000","Abuja (FCT), Jabi",Foreign Used,78390 km
Nissan Sentra 2006 Black,"₦ 3,150,000","Lagos State, Kosofe",Local Used,53389 km
Toyota Corolla 2005 Gray,"₦ 4,494,000","Lagos State, Lekki",Local Used,166533 km
Honda Pilot 2016 Black,"₦ 20,370,000","Lagos State, Yaba",Local Used,11250 km
Land Rover Range Rover 2010 Purple,"₦ 8,400,000","Lagos State, Ikoyi",Local Used,94234 km
Honda Accord 2.4 EX Automatic 2008 Black,"₦ 4,410,000","Akwa Ibom State, Uyo",Local Used,175857 km
Toyota Corolla LE 2006 Black,"₦ 3,675,000","Lagos State, Ogba",Local Used,168878 km
Toyota Corolla 2005 Silver,"₦ 3,990,000","Lagos State, Ojodu",Local Used,158319 km
Lexus RX 350 2008 Black,"₦ 5,775,000","Edo State, Benin City",Local Used,171573 km
Toyota Camry 2013 Silver,"₦ 14,560,000","Oyo State, Ibadan",Foreign Used,234776 km
Honda Pilot 2007 Brown,"₦ 4,200,000","Lagos State, Ajah",Local Used,176763 km
Toyota RAV4 2004 Red,"₦ 3,255,000","Oyo State, Ibadan",Local Used,131188 km
Lexus ES 2007 Gray,"₦ 6,300,000","Rivers State, Port-Harcourt",Local Used,186489 km
Hyundai Tucson 2021 Black,"₦ 30,450,000","Lagos State, Yaba",Local Used,42277 km
Hyundai Sonata GLS Sedan FWD (2.4L 4cyl 6A) 2011 Gray,"₦ 6,153,000","Lagos State, Ikorodu",Local Used,118323 km
Toyota Corolla 2009 Silver,"₦ 5,250,000","Rivers State, Port-Harcourt",Local Used,222567 km
Toyota Camry 2007 Green,"₦ 6,503,333","Lagos State, Ikeja",Local Used,177286 km
Hyundai Santa Fe 2007 White,"₦ 4,725,000","Lagos State, Ajah",Local Used,319180 km
Mercedes-Benz CLS 2012 White,"₦ 21,000,000","Lagos State, Lekki",Local Used,62353 km
Mercedes-Benz E320 2004 Black,"₦ 3,622,500","Lagos State, Ogudu",Local Used,13930 km
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 5A) 2007 Gray,"₦ 6,825,000","Akwa Ibom State, Uyo",Local Used,520478 km
